codigo_mun_i,codigo_mun_j,cij_def
5001,5001,0
5001,5002,0.2996386
5001,5004,0.4659046
5001,5021,0.2887571
5001,5030,0.1215794
5001,5031,0.5539281
5001,5034,0.4645157
5001,5036,0.1434544
5001,5038,0.3847222
5001,5040,0.5993376
5001,5042,0.1495922
5001,5044,0.2600107
5001,5045,0.750723
5001,5051,1
5001,5055,0.6007479
5001,5059,0.2218928
5001,5079,0.1111912
5001,5086,0.2727689
5001,5088,0.0437375
5001,5091,0.4608743
5001,5093,0.4773219
5001,5101,0.4032158
5001,5107,0.4887714
5001,5113,0.2430627
5001,5120,0.5489655
5001,5125,0.3367717
5001,5129,0.061136
5001,5134,0.3862109
5001,5138,0.2815599
5001,5142,0.5082158
5001,5145,0.3565313
5001,5147,0.7137607
5001,5148,0.1809544
5001,5150,0.3497934
5001,5154,0.6720192
5001,5172,0.6792896
5001,5190,0.2640509
5001,5197,0.216916
5001,5206,0.2141702
5001,5209,0.3606339
5001,5212,0.0528472
5001,5234,0.4212393
5001,5237,0.1323273
5001,5240,0.1657763
5001,5250,1
5001,5264,0.2405841
5001,5266,0.032849
5001,5282,0.1905288
5001,5284,0.3796047
5001,5306,0.2500445
5001,5308,0.0772258
5001,5310,0.2899395
5001,5313,0.2145531
5001,5315,0.4274127
5001,5318,0.0857354
5001,5321,0.2721456
5001,5347,0.1827529
5001,5353,0.3749662
5001,5360,0.035771
5001,5361,0.683937
5001,5364,0.5301389
5001,5368,0.37953
5001,5376,0.1550463
5001,5380,0.0487108
5001,5390,0.1861877
5001,5400,0.2131944
5001,5411,0.2478775
5001,5425,0.4692504
5001,5440,0.1306428
5001,5467,0.1512393
5001,5475,0.8657301
5001,5480,0.542062
5001,5483,0.6052742
5001,5490,0.9969943
5001,5495,0.9959615
5001,5501,0.2116097
5001,5541,0.2075623
5001,5543,0.6601158
5001,5576,0.4063123
5001,5579,0.6806322
5001,5585,0.6442094
5001,5591,0.4567201
5001,5604,0.7468964
5001,5607,0.1161004
5001,5615,0.1359277
5001,5628,0.4032105
5001,5631,0.0437375
5001,5642,0.3707034
5001,5647,0.4154167
5001,5649,0.4339512
5001,5652,0.2748148
5001,5656,0.1045495
5001,5658,0.3737215
5001,5659,1
5001,5660,0.3325267
5001,5664,0.1603099
5001,5665,1
5001,5667,0.3941222
5001,5670,0.3153259
5001,5674,0.1584348
5001,5679,0.1277849
5001,5686,0.1928917
5001,5690,0.2186236
5001,5697,0.1505591
5001,5736,0.7986218
5001,5756,0.4475054
5001,5761,0.1470638
5001,5789,0.3185381
5001,5790,0.5291115
5001,5792,0.3568892
5001,5809,0.2018145
5001,5819,0.5379772
5001,5837,0.8137091
5001,5842,0.3409883
5001,5847,0.4926318
5001,5854,0.3824021
5001,5856,0.2824627
5001,5858,0.5509437
5001,5861,0.2084776
5001,5873,0.5553846
5001,5885,0.4775783
5001,5887,0.3011788
5001,5890,0.3328348
5001,5893,1
5001,5895,1
5002,5001,0.2996386
5002,5002,0
5002,5004,0.9821342
5002,5021,0.7334028
5002,5030,0.3876111
5002,5031,1
5002,5034,0.683066
5002,5036,0.4298611
5002,5038,0.8732616
5002,5040,1
5002,5042,0.5708495
5002,5044,0.7144051
5002,5045,1
5002,5051,1
5002,5055,0.4818472
5002,5059,0.5844166
5002,5079,0.4683943
5002,5086,0.7282223
5002,5088,0.3563638
5002,5091,0.8076435
5002,5093,0.870507
5002,5101,0.6629924
5002,5107,1
5002,5113,0.6958356
5002,5120,1
5002,5125,0.8143055
5002,5129,0.2710687
5002,5134,0.8752385
5002,5138,0.7423588
5002,5142,1
5002,5145,0.5440116
5002,5147,1
5002,5148,0.3195497
5002,5150,0.8252223
5002,5154,1
5002,5172,1
5002,5190,0.7155995
5002,5197,0.5157917
5002,5206,0.6321157
5002,5209,0.7183333
5002,5212,0.3667341
5002,5234,0.9239931
5002,5237,0.5440996
5002,5240,0.5815718
5002,5250,1
5002,5264,0.6872894
5002,5266,0.304892
5002,5282,0.4064144
5002,5284,0.869831
5002,5306,0.6992963
5002,5308,0.4282513
5002,5310,0.7473518
5002,5313,0.5133033
5002,5315,0.9373796
5002,5318,0.4074179
5002,5321,0.5944954
5002,5347,0.5267593
5002,5353,0.6940069
5002,5360,0.2785435
5002,5361,1
5002,5364,0.7821876
5002,5368,0.537412
5002,5376,0.2424874
5002,5380,0.2982041
5002,5390,0.3329005
5002,5400,0.2624676
5002,5411,0.6989422
5002,5425,0.9827685
5002,5440,0.3734533
5002,5467,0.2904421
5002,5475,1
5002,5480,1
5002,5483,0.4887708
5002,5490,1
5002,5495,1
5002,5501,0.6514953
5002,5541,0.5140625
5002,5543,1
5002,5576,0.5996597
5002,5579,1
5002,5585,1
5002,5591,0.8291829
5002,5604,1
5002,5607,0.3344907
5002,5615,0.3161786
5002,5628,0.9027547
5002,5631,0.3000347
5002,5642,0.6907107
5002,5647,0.9097407
5002,5649,0.7201831
5002,5652,0.5937523
5002,5656,0.51150929999999994
5002,5658,0.858963
5002,5659,1
5002,5660,0.6694884
5002,5664,0.5272369
5002,5665,1
5002,5667,0.7564445
5002,5670,0.7817894
5002,5674,0.4899792
5002,5679,0.22925
5002,5686,0.5649326
5002,5690,0.6556667
5002,5697,0.3892656
5002,5736,1
5002,5756,0.2570728
5002,5761,0.5664838
5002,5789,0.5026574
5002,5790,0.9636806
5002,5792,0.5587847
5002,5809,0.4934676
5002,5819,1
5002,5837,1
5002,5842,0.8195741
5002,5847,1
5002,5854,0.870331
5002,5856,0.4468565
5002,5858,1
5002,5861,0.4795949
5002,5873,1
5002,5885,0.9931227
5002,5887,0.6930156
5002,5890,0.8051505
5002,5893,1
5002,5895,1
5004,5001,0.4659046
5004,5002,0.9821342
5004,5004,0
5004,5021,0.9570602
5004,5030,0.7499977
5004,5031,1
5004,5034,1
5004,5036,0.7770463
5004,5038,1
5004,5040,1
5004,5042,0.4273495
5004,5044,0.6007963
5004,5045,0.6699575
5004,5051,1
5004,5055,1
5004,5059,0.8811783
5004,5079,0.6575042
5004,5086,0.8314861
5004,5088,0.5297145
5004,5091,1
5004,5093,1
5004,5101,0.9373927
5004,5107,1
5004,5113,0.3845579
5004,5120,1
5004,5125,0.7006968
